Origem,Pergunta,Temas
Chat GPT,Que tradição de família você mais gosta?,Família
Chat GPT,Algo que aprendeu com sua família que leva para a vida?,Família
Chat GPT,Que foi a maior mudança que já fez em sua vida?,Autoconhecimento
Chat GPT,Você prefere poucos amigos próximos ou muitos conhecidos?,Amigos
Chat GPT,Que foi o maior aprendizado que você já teve em um trabalho?,Trabalho
Chat GPT,Você acredita em amor à primeira vista?,Casais/Relacionamentos
Chat GPT,Prefere praia ou montanha?,Cotidiano/Leveza
Chat GPT,Que hábito você gostaria de desenvolver?,Autoconhecimento
Chat GPT,Que é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Algo que aprendeu com sua família que leva para a vida?,Família
Chat GPT,Como você lida com um chefe difícil?,Trabalho
Chat GPT,Algo que considera essencial para um relacionamento dar certo?,Casais/Relacionamentos
Chat GPT,Algo que mais valoriza em uma amizade?,Amigos
Chat GPT,Que foi o melhor conselho que recebeu de alguém da sua família?,Família
Chat GPT,Já perdeu uma amizade importante? Algo que aprendeu com isso?,Amigos
Chat GPT,Que é a sua maior motivação no trabalho?,Trabalho
Chat GPT,Que tradição de família você mais gosta?,Família
Diana,O que sobre quem você é te faz se admirarÂ consigo?,Sem classificação
Perguntas para se apaixonar,Que importância tem o amor e o afeto em sua vida?,"Amor/Relacionamentos, Autoconhecimento/Valores"
Perguntas para se apaixonar,"Se pudesse escolher qualquer pessoa no mundo, quem convidaria para jantar?",Autoconhecimento/Valores
Perguntas para se apaixonar,Por quais aspectos de sua vida você se sente mais agradecido?,Autoconhecimento/Valores
Perguntas para se apaixonar,Use quatro minutos para contar ao seu interlocutor a história de sua vida com todo o detalhe possÍvel.,Autoconhecimento/Valores
Perguntas para se apaixonar,Qual é a maior conquista que conseguiu em sua vida?,Autoconhecimento/Valores
Perguntas para se apaixonar,"Se fossemos nos tornar amigos Íntimos, o que seria importante que eu soubesse?",Autoconhecimento/Valores
Perguntas para se apaixonar,Divida com seu interlocutor um momento embaraçoso de sua vida.,Autoconhecimento/Valores
Perguntas para se apaixonar,Divida um problema pessoal e veja como a outra pessa teria feito para resolver. Pergunte também como acha que você se sente em relação ao problema que contou.,Autoconhecimento/Valores
Perguntas para se apaixonar,"Se pudesse viver até os 90 anos e ter o corpo ou a mente de alguém de 30 durante os Últimos 60 anos de sua vida, qual das duas opções escolheria?","Autoconhecimento/Valores, Saúde/Bem-estar"
Perguntas para se apaixonar,Gostaria de ser famoso? De que forma?,Carreira/Futuro
Perguntas para se apaixonar,"Se uma bola de cristal pudesse contar a verdade sobre você, sua vida, o futuro ou qualquer outra coisa, o que você perguntaria?","Carreira/Futuro, Autoconhecimento/Valores"
Perguntas para se apaixonar,"Para você, como seria um dia perfeito?",Cotidiano/Preferências
Perguntas para se apaixonar,Quando foi a Última vez que cantou sozinho? E para outra pessoa?,Experiências Passadas
Perguntas para se apaixonar,Qual é sua lembrança mais valiosa?,Experiências Passadas
Perguntas para se apaixonar,Qual é sua lembrança mais dolorosa?,Experiências Passadas
Perguntas para se apaixonar,Quando foi a Última vez que chorou na frente de alguém? E sozinho?,Experiências Passadas
Perguntas para se apaixonar,Como se sente em relação a sua mãe?,Família
Perguntas para se apaixonar,"De todas as pessoas da sua Família, qual morte seria mais dolorosa para você? Por quê?",Família
Perguntas para se apaixonar,Sua Família é próxima e carinhosa? Acha que sua infância foi mais feliz que a dos demais?,"Família, Autoconhecimento/Valores, Experiências Passadas"
Perguntas para se apaixonar,"Antes de fazer uma ligação telefônica, você programa o que vai falar? Por quê?",Sem classificação
Perguntas para se apaixonar,Tem uma intuição secreta de como vai morrer?,Sem classificação
Perguntas para se apaixonar,Diga três coisas que acredita ter em comum com seu interlocutor.,Sem classificação
Perguntas para se apaixonar,"Se pudesse mudar algo em como foi educado, o que seria?",Sem classificação
Perguntas para se apaixonar,"Se amanhã pudesse se levantar com uma habilidade ou qualidade nova, qual seria?",Sem classificação
Perguntas para se apaixonar,O que mais valoriza em um amigo?,Sem classificação
Perguntas para se apaixonar,"Se você soubesse que vai morrer daqui a um ano de maneira repentina, mudaria algo em sua maneira de viver? Por quê?",Sem classificação
Perguntas para se apaixonar,O que significa a amizade para você?,Sem classificação
Perguntas para se apaixonar,"Compartilhem, de forma alternada, cinco caracterÍsticas que consideram positivas um no outro",Sem classificação
Perguntas para se apaixonar,"Diga três frases usando o pronome ""nós"". Por exemplo, ""nós estamos neste lugar sentindo...""",Sem classificação
Perguntas para se apaixonar,"Complete esta frase: ""Gostaria de ter alguém com quem compartilhar..."".",Sem classificação
Perguntas para se apaixonar,Diga a outra pessoa o que mais gostou nele ou nela. Seja muito honesto e diga coisas que não diria a alguém que acaba de conhecer.,Sem classificação
Perguntas para se apaixonar,Conte pra outra pessoa algo que já gosta nela.,Sem classificação
Perguntas para se apaixonar,Há algo que seja muito sério e que não se deve fazer piadas a respeito?,Sem classificação
Perguntas para se apaixonar,"Se fosse morrer esta noite sem possibilidade de falar com ninguém, o que lamentaria não ter dito a uma pessoa? Por que não disse até agora?",Sem classificação
Perguntas para se apaixonar,"Sua casa está pegando fogo com todas suas coisas dentro. Depois de salvar seus entes queridos e seus bichos de estimação, sobra tempo para salvar um Único objeto. Qual escolheria? Por quê?",Sem classificação
Puxando corversa - original,Qual é a sua definição para o amor?,Amor/Relacionamentos
Puxando corversa - original,O que é mais importante: fé ou amor?,"Amor/Relacionamentos, Autoconhecimento/Valores"
Puxando corversa - original,"Algumas pessoas dizem que quanto mais conhecimento se tem, menos feliz se é. Você concorda com isso?",Autoconhecimento/Valores
Puxando corversa - original,Quem é mais feliz? Aquele que sabe falar ou que sabe ouvir bem?,Autoconhecimento/Valores
Puxando corversa - original,O que você aprendeu com a Última dificuldade que enfrentou?,Autoconhecimento/Valores
Puxando corversa - original,Você já deixou escapar alguma oportunidade importante por medo de tentar?,Autoconhecimento/Valores
Puxando corversa - original,"Se você tivesse que viver com apenas sete pessoas o resto da sua vida, quem seriam?",Autoconhecimento/Valores
Puxando corversa - original,O que é mais importante: defender oq é certo ou fazer o que é certo?,Autoconhecimento/Valores
Puxando corversa - original,"Pra você, qual é o sentido da vida?",Autoconhecimento/Valores
Puxando corversa - original,O que é mais importante: inteligência ou caráter?,Autoconhecimento/Valores
Puxando corversa - original,Criatividade é dom ou esforço?,Autoconhecimento/Valores
Puxando corversa - original,Qual é a sua lembrança mais feliz?,"Autoconhecimento/Valores, Experiências Passadas"
Puxando corversa - original,Qual foi a sua Última grande conquista (sonho)? Faz tempo?,Carreira/Futuro
Puxando corversa - original,Sua vida está saindo como você sonhou?,"Carreira/Futuro, Autoconhecimento/Valores"
Puxando corversa - original,"Se você pudesse fazer a Deus um Único pedido, sob a garantia de que ele se realizasse imediatamente, qual seria?",Cotidiano/Preferências
Puxando corversa - original,Qual é a comida que te faz sorrir? Por que?,Cotidiano/Preferências
Puxando corversa - original,O que você tem feito pra tornar o seu dia mais saboroso? E o que gostaria de fazer?,Cotidiano/Preferências
Puxando corversa - original,O que você costuma fazer para melhorar o lugar onde passa o seu dia?,Cotidiano/Preferências
Puxando corversa - original,"Em sua opinião, qual seria o livro que ninguém deveria deixar de ler?",Cotidiano/Preferências
Puxando corversa - original,Como você trata as pessoas que fazem parte da rotina do seu dia a dia?,Cotidiano/Preferências
Puxando corversa - original,Qual foi a melhor coisa que te aconteceu nos Últimos dias?,Cotidiano/Preferências
Puxando corversa - original,Que tÍtulo você daria para o filme da história da sua vida?,"Cotidiano/Preferências, Autoconhecimento/Valores"
Puxando corversa - original,"Se hoje fosse o seu Último dia de vida, o que você gostaria de fazer com ele?","Cotidiano/Preferências, Autoconhecimento/Valores"
Puxando corversa - original,Qual foi a brincadeira que mais marcou a sua infância?,Experiências Passadas
Puxando corversa - original,Qual é a sua memória mais antiga?,Experiências Passadas
Puxando corversa - original,Quando foi a Última vez que você se divertiu pra valer ou riu até chorar?,Experiências Passadas
Puxando corversa - original,Você tem alguma paixão? Qual?,Família
Puxando corversa - original,"Se você pudesse mudar algo no seu corpo, o que mudaria?",Saúde/Bem-estar
Puxando corversa - original,Você se considera amigo de si mesmo? Por que?,Sem classificação
Puxando corversa - original,Qual é o assunto que você mais gosta?,Sem classificação
Puxando corversa - original,"Se você tivesse que se mudar para o Oriente Médio, você seria capaz de se adaptar?",Sem classificação
Puxando corversa - original,"Se você fosse resumir o que foi esse ano em uma frase, qual seria?",Sem classificação
Puxando corversa - original,O que você mais gosta de fazer quando está em casa?,Sem classificação
Puxando corversa - original,Qual foi a melhor escolha que você já fez?,Sem classificação
Puxando corversa - original,Você já viveu uma situação que considerou uma resposta de Deus? Qual?,Sem classificação
Puxando corversa - original,"Qual é a primeira coisa que você faria com o seu dinheiro se, de repente, você se tornasse extremamente rico?",Sem classificação
Puxando corversa - original,Como você quer que as pessoas te tratem?,Sem classificação
Puxando corversa - original,O que torna uma pessoa atraente pra você?,Sem classificação
Puxando corversa - original,O que você gosta de colecionar?,Sem classificação
Puxando corversa - original,Qual foi o lugar que você conheceu e gostou tanto que sentiu vontade de voltar lá?,Sem classificação
Puxando corversa - original,Que episódio do seu passado você gostaria de reviver?,Sem classificação
Puxando corversa - original,"O que você gostaria de parar de fazer, mas ainda não conseguiu?",Sem classificação
Puxando corversa - original,"Em sua opinião, qual é a maior força do mundo?",Sem classificação
Puxando corversa - original,"No seu modo de ver, qual é a caracterÍstica que mais nos diferencia dos animais?",Sem classificação
Puxando corversa - original,As coisas acontecem por sorte ou nós as fazemos acontecer?,Sem classificação
Puxando corversa - original,O que você prefere: conhecimento superficial sobre muitas coisas ou conhecimento profundo sobre poucas?,Sem classificação
Puxando corversa - original,Diga um talento que você tem e que pouca gente conhece.,Sem classificação
Puxando corversa - original,Existe alguma coisa da qual você deveria se desapegar? O que?,Sem classificação
Puxando corversa - original,Uma pessoa tira mais da outra quando rouba o seu tempo ou o seu dinheiro?,Sem classificação
Puxando corversa - original,Ã‰ possÍvel uma pessoa viver sem fé?,Sem classificação
Puxando corversa - original,"Em sua opinião, as pessoas vêm ao mundo com uma missão? Se sim, qual é a sua?",Sem classificação
Puxando corversa - original,"Existe algum segredo pra manter a paz no coração, mesmo em meio aos problemas?",Sem classificação
Puxando corversa - original,O que o dinheiro não pode comprar?,Sem classificação
Puxando corversa - original,O que vem primeiro: ser bondoso ou não se deixar enganar?,Sem classificação
Puxando corversa - original,"Que tipo de coisa você precisa fazer, mas acaba sempre deixando pra depois?",Sem classificação
Puxando corversa - original,Você é do tipo de pessoa que insiste no que acredita mesmo frente a qualquer dificuldade?,Sem classificação
Puxando corversa - original,Você acha que se parece mais velho ou mais novo que a idade que você tem?,Sem classificação
Puxando corversa - original,Que qualidade você tem que mais te agrada?,Sem classificação
Puxando corversa - original,O que você prefere: fazer um grande bem a uma pessoa uma Única vez ou fazer sempre um pouco de cada vez?,Sem classificação
Puxando corversa - original,Há algo no seu jeito de ser que você gostaria de melhorar? O que?,Sem classificação
Puxando corversa - original,"Se te faltasse só uma peça pra você se tornar perfeito, que peça seria essa?",Sem classificação
Puxando corversa - original,Dizem que de gênio e louco todo mundo tem um pouco. Com você também é assim?,Sem classificação
Puxando corversa - original,"Quando alguém se aproxima de você sem razão aparente, você fica se prguntando por que ou deixa acontecer?",Sem classificação
Puxando corversa - original,O que você gostaria de dizer a quem você ama e ainda não disse?,Sem classificação
Puxando corversa - original,Descreva o encontro perfeito. (De qualquer tipo),Sem classificação
Puxando corversa - original,O que não pode faltar pra que uma conversa seja boa?,Sem classificação
Puxando corversa - original,O que você gostaria de recomeçar do zero? O que você faria diferente?,Sem classificação
Puxando corversa - original,Você é uma pessoa mais de iniciativa ou de acabativa?,Sem classificação
Puxando corversa - original,Qual é o segredo da felicidade? Grandes feitos ou pequenos prazeres?,Sem classificação
Puxando corversa - original,Qual foi a Última coisa arriscada que você fez? Faz tempo?,Sem classificação
Tamires,Qual é a coisa que vc já fez na vida que tem mais orgulho?,Autoconhecimento/Valores
Tamires,Que tipo de mÚsica você curte mas não comenta muito?,Cotidiano/Preferências
Tamires,Já usou drogas? Como foi a experiência?,Sem classificação
Tamires,Cachorro ou Gato? Por que?,Sem classificação
Tamires,Você foi criado dentro de alguma religião? Como é a sua relação com a espiritualidade?,Sem classificação
Tamires,Piercings e Tatuagens? E a história por trás deles?,Sem classificação
Tamires,Como seus ex descreveriam você?,Sem classificação
Tamires,Você tem algum prazer secreto? Qual?,Sem classificação
Tamires,Que conselho você gostaria de dar pra qlqr pessoa no mundo?,Sem classificação
Vamos falar de Sexo?,Você faria amor por compaixão?,"Amor/Relacionamentos, Família"
Vamos falar de Sexo?,"Complete: ""A vida sem sexo é...""",Autoconhecimento/Valores
Vamos falar de Sexo?,Você já teve sonhos eróticos e acordou com um orgasmo?,Carreira/Futuro
Vamos falar de Sexo?,Qual foi o maior nÚmero de vezes em que você fez sexo num dia?,Cotidiano/Preferências
Vamos falar de Sexo?,Em que perÍodo do dia você mais gosta de transar?,Cotidiano/Preferências
Vamos falar de Sexo?,Que cena de filme você acha mais excitante?,Cotidiano/Preferências
Vamos falar de Sexo?,Ao som de que mÚsica você gostaria de transar?,Cotidiano/Preferências
Vamos falar de Sexo?,Você se excita com filmes eróticos?,Cotidiano/Preferências
Vamos falar de Sexo?,Você já fez sexo derramando alguma bebida pelo seu corpo?,Saúde/Bem-estar
Vamos falar de Sexo?,Quais são as 3 áreas erógenas do seu corpo?,Saúde/Bem-estar
Vamos falar de Sexo?,Qual parte do seu corpo você acha mais sexy?,Saúde/Bem-estar
Vamos falar de Sexo?,O que você mudaria no seu corpo pra parecer mais sexy?,Saúde/Bem-estar
Vamos falar de Sexo?,Em que parte do corpo você mais gosta de ser tocado?,Saúde/Bem-estar
Vamos falar de Sexo?,Com que tipo de roupa você se sente mais sexy?,Sem classificação
Vamos falar de Sexo?,Você participaria de uma orgia?,Sem classificação
Vamos falar de Sexo?,"Se você tivesse que escolher um homem e uma mulher pra ver fazendo sexo na sua frente, quem seriam?",Sem classificação
Vamos falar de Sexo?,Qual é a melhor preliminar?,Sem classificação
Vamos falar de Sexo?,"Fazendo sexo oral na outra pessoa, você permite que a pessoa goze na sua boca?",Sem classificação
Vamos falar de Sexo?,"Depois que você teve a sua 1Âª vez, qual foi o maior tempo que vc passou sem sexo?",Sem classificação
Vamos falar de Sexo?,Que pessoa você acha que é boa de cama? Por quê?,Sem classificação
Vamos falar de Sexo?,Qual é o seu maior preconceito em relação ao sexo?,Sem classificação
Vamos falar de Sexo?,"Se você pudesse decidir a partir de qual idade as pessoas poderiam ter relações sexuais, que idade seria?",Sem classificação
Vamos falar de Sexo?,O que você acha sobre se masturbar na frente de alguém?,Sem classificação
Vamos falar de Sexo?,Já fez algum jogo tipo tirar uma peça de roupa a cada resposta errada?,Sem classificação
Vamos falar de Sexo?,Descreva como você faria sexo sem penetração.,Sem classificação
Vamos falar de Sexo?,Você gosta de  receber/dar mordidas? Onde?,Sem classificação
Vamos falar de Sexo?,Você costuma conversar sobre sexo?,Sem classificação
Vamos falar de Sexo?,Qual foi o local mais inusitado que você já transou?,Sem classificação
Vamos falar de Sexo?,Você já acordou no meio da noite pedindo por sexo ao parceiro?,Sem classificação
Vamos falar de Sexo?,"Você faria sexo ao ar livre, como numa praia correndo o risco de ser visto por outras pessoas?",Sem classificação
Vamos falar de Sexo?,Dominar ou ser dominado?,Sem classificação
Vamos falar de Sexo?,Você já fez sexo no 1Âº encontro?,Sem classificação
Vamos falar de Sexo?,Toda relação sexual tem que ser demorada ou uma rapidinha também vale a pena?,Sem classificação
Vamos falar de Sexo?,Que acessório de sex shops você acha mais interessante?,Sem classificação
Vamos falar de Sexo?,Qual é a sua posição favorita?,Sem classificação
Vamos falar de Sexo?,Você acha que o sexo melhora com a idade?,Sem classificação
Vamos falar de Sexo?,Você acha excitante tomar banho junto com o parceiro?,Sem classificação
Vamos falar de Sexo?,Você já dormiu durante o sexo?,Sem classificação
Vamos falar de Sexo?,"Se você tem um espelho por perto, gosta de ficar olhando pra ele durante o sexo?",Sem classificação
Vamos falar de Sexo?,Você já fez sexo por interesse?,Sem classificação
Vamos falar de Sexo?,Você já foi pego se masturbando?,Sem classificação
Vamos falar de Sexo?,Qual foi sua experiência sexual mais desapontadora?,Sem classificação
Vamos falar de Sexo?,O que você acha de cheirar as roupas Íntimas da outra pessoa?,Sem classificação
Vamos falar de Sexo?,Com que idade você teve a sua 1Âª vez?,Sem classificação
Vamos falar de Sexo?,Você pagaria por sexo?,Sem classificação
Vamos falar de Sexo?,Você já fez sexo no carro?,Sem classificação
Vamos falar de Sexo?,Você já se pegou sendo voyeur? Como foi?,Sem classificação
Vamos falar de Sexo?,Você já chegou ao orgasmo falando com alguém ao telefone?,Sem classificação
Vamos falar de Sexo?,O que te excita mais: o cheiro da região genital ou um perfume bem aplicado no pescoço?,Sem classificação
Vamos falar de Sexo?,O que você não gosta de fazer na cama?,Sem classificação
Vamos falar de Sexo?,Você posaria nu/a para alguma revista?,Sem classificação
Vamos falar de Sexo?,O que você faria se mudasse de sexo?,Sem classificação
Vamos falar de Sexo?,"Na adolescência, com que frequência você se masturbava?",Sem classificação
Vamos falar de Sexo?,Você já fingiu orgasmo?,Sem classificação
Vamos falar de Sexo?,O que te faz ficar excitado mais rapidamente?,Sem classificação
Vamos falar de Sexo?,"Se você tivesse que escolher uma Única coisa pra negar na cama, o que seria?",Sem classificação
Vamos falar de Sexo?,Você bateria em alguém que pedisse durante o sexo?,Sem classificação
Vamos falar de Sexo?,Qual é a sua fantasia sexual?,Sem classificação
Vamos falar de Sexo?,O que você acha de sexo anal?,Sem classificação
Vamos falar de Sexo?,Você gosta de palavrões durante o sexo?,Sem classificação
Vamos falar de Sexo?,Você já foi viciado/a em sexo?,Sem classificação
Vamos falar de Sexo?,Você usaria um vibrador no seu parceiro?,Sem classificação
Vamos falar de Sexo?,Você já se machucou fazendo sexo?,Sem classificação
Vamos falar de Sexo?,Qual é a sua maior vergonha até hoje em relação ao sexo?,Sem classificação
Vamos falar de Sexo?,Até que ponto o olhar te excita?,Sem classificação
